,Location
0,Runda
1,Kilimani
2,Westlands
3,Westlands
4,Riverside
5,Kilimani
6,Runda
7,Kitisuru
8,Lavington
9,Kitisuru
10,Brookside
11,Spring
12,Westlands
13,Near
15,Aboretum
16,Runda
18,Lavington
19,Runda
20,Lower
21,Off
22,Karen
23,Church
24,Lavington
25,Nairobi
26,Westlands
27,Kilimani
28,Peponi
29,Thika
30,Dik
32,Westlands
33,Othaya
34,Kileleshwa
35,Riverside
36,Othaya
39,Riverside
40,Karen
41,Lavington
42,Lavington
43,Mombasa
44,General
45,Kilimani
46,Kolobot
47,Kilimani
48,Lavington
49,Parklands
50,Peponi
51,Lavington
52,Kitisuru
53,Riverside
54,Runda
55,Spring
56,Kileleshwa
57,Rhapta
58,Usd
59,Kilimani
60,Karen
61,Mombasa
62,Muthangari
63,Mombasa
64,Kitisuru
66,Nyari
67,Lavington
68,Kilimani
69,Church
70,Moi
71,Dennis
72,Hardy
73,Kilimani
74,Kileleshwa
75,Westlands
76,Off
77,Muthaiga
78,Nyari
79,Upper
80,Rosslyn
81,Kilimani
82,Kitisuru
83,Runda
84,Dikdik
85,Spring
86,Westlands
87,Kabete
88,Westlands
89,Kilimani
90,Mountain
91,Kiambu
92,Kileleshwa
93,Runda
94,Lavington
95,Kilimani
96,Kileleshwa
97,Rosslyn
98,Kilimani
99,Gigiri
100,Muthaiga
101,Kitisuru
102,Miotoni
103,Runda
104,Westlands
105,Nyangumi
106,Brookside
107,Westlands
108,Riara
109,Lavington
110,Spring
111,Karen
112,Rhapta
113,Runda
114,Rhapta
115,Runda
116,Thika
118,Mombasa
119,Kilimani
120,Spring
121,Yaya
122,Lowerkabete
124,Kindaruma
125,Kileleshwa
126,Kuro
127,Runda
128,Westlands
129,General
130,Riverside
131,Lavington
132,Wood-avenue
133,Lavington
134,Riara
135,Two
136,Riverside
137,Westlands
138,Karen
139,Church
140,Runda
141,Waiyaki
142,Rosslyn
143,Kihigo
144,Westlands
145,Red
146,Kiambu
147,Riverside
148,Waiyaki
149,Loresho
150,Gigiri
151,Donyo
152,Mombasa
153,Lavington
154,Nyari
155,Lavington
156,Kilimani
157,Mombasa
158,Riverside
159,Lavington
160,Riverside
161,Lavington
162,Westlands
163,Kisembe
164,Parklands
165,Westlands
166,Muthaiga
167,Runda
168,Westlands
169,Kileleshwa
170,Lavington
171,Riverside
172,Westlands
173,Runda
174,Karen
176,Riverside
177,Nyari
178,Karen
179,Upper
180,Brookside
181,General
182,Westlands
183,Kileleshwa
184,Industrial
185,Runda
186,Lavington
187,Mombasa
188,Lavington
189,Brookside
190,Kileleshwa
191,Muthaiga
193,Kileleshwa
194,Parklands
195,Nyari
196,Off
199,Runda
200,Lavington
201,Mugumo
202,Kilimani
203,Runda
205,Brookside
206,Lavington
207,Muthaiga
208,Kileleshwa
209,Kiambu
210,Runda
211,Lakeview
212,Spring
213,General
214,Rhapta
215,Riverside
216,Muthaiga
217,Kiambu
218,Lower
219,Riverside
220,Lavington
221,Lavington
222,Kilimani
223,Spring
224,Lavington
225,Waiyaki
226,Westlands
227,Lower
228,Parklands
229,Kilimani
231,Westlands
232,Limuru
234,Lavington
235,Kileleshwa
236,Spring
237,Runda
238,Peponi
239,Kileleshwa
240,Spring
241,Muthaiga
242,Westlands
244,Zagoretti
245,Kileleshwa
246,Near
247,Spring
248,Karen
249,Kiambu
250,Muthaiga
251,Valley
252,Westlands
253,Kilimani
254,Kilimani
255,Kilimani
256,Mombasa
257,Runda
258,Mombasa
259,Runda
260,Suguta
261,Gigiri
262,Raphta
263,Karen
264,Kilimani
265,Lower
266,Kileleshwa
268,Parklands
269,Runda
270,Ring
271,Lavington
272,Westlands
273,Lavington
274,Parklands
275,Riverside
276,Industrial
277,Peponi
278,Kitisuru
279,Kileleshwa
280,Westlands
281,Kyuna
282,Kirichwa
283,Runda
284,Karen
285,Kiambu
286,Kileleshwa
287,Westlands
288,Kilimani
289,Lavington
290,Lavington
291,Bongani
292,Westlands
293,City
295,Kitusuru
296,Kilimani
297,Lavington
298,Runda
299,Lavington
300,Kilimani
301,Limuru
302,Kitisuru
303,Lower
304,Garden
305,Kerarapon
306,Kilimani
307,Kileleshwa
308,Mpaka
309,Westlands
310,Kileleshwa
311,Kiambu
312,Kileleshwa
313,Lavington
314,Muthangari
315,Rosslyn
316,Dagoretti
317,Kitisuru
318,Karen
320,Parklands
321,Parklands
322,Gatundu
323,Kilimani
324,Runda
325,Riverside
326,Riverside
327,Karen
328,Runda
329,Riverside
330,Kamulu
331,Kitusuru
332,Kileleshwa
333,Runda
334,Lavington
335,Kileleshwa
336,Industrial
337,Kitisuru
338,Kiambu
339,Rossyln
340,Parklands
342,Off
343,Kileleshwa
344,Phase
345,Kileleshwa
346,Lavington
347,Loresho
348,Westlands
349,Muthangari
350,New
353,Runda
354,Kitisuru
355,Westlands
356,Brookside
357,Kilimani
358,Riverside
359,Lower
360,Kileleshwa
361,Raphta
362,Makueni
363,Runda
364,Kilimani
366,Kileleshwa
367,Muthaiga
368,Kileleshwa
369,Kileleshwa
370,Lavington
371,Loresho
372,Brookside
373,Riverside
374,Dagoretti
375,Peponi
376,Lavington
377,Kilimani
378,Karen
379,Westlands
380,Riverside
381,Rosslyn
383,Kabasiran
384,Hatheru
385,Rhapta
386,Kilimani
387,Muteero
388,Waiyaki
389,Lavington
390,Mombasa
391,General
392,Rosslyn
393,Karen
394,Wood
395,Lower
396,Kilimani
397,Kilimani
398,Kilimani
399,Riverside
400,Riverside
401,Runda
402,Kilimani
403,Mukoma
404,Rhapta
405,Riverside
406,Kileleshwa
407,Grevellia
408,Tende
410,Riverside
411,Kilimani
412,Marula
413,Lavington
414,Karen
415,Westlands
416,Karen
417,Kilimani
418,United
419,Nairobi
420,Rosslyn
421,Lavington
422,Kilimani
423,Lavington
425,Kileleshwa
426,Kilimani
427,Rosslyn
429,Off
430,Church
431,Kyuna
432,Lavington
433,Spring
435,Westlands
436,Brookside
437,Maziwa
438,General
439,Miotoni
440,Loresho
441,Lavington
442,Muthaiga
443,Kileleshwa
444,32
445,Thigiri
446,Dagoretti
447,Two
448,Raphta
449,Lantana
450,Runda
451,Runda
452,Kiambu
453,Riverside
454,Kilimani
455,Riverside
456,Westlands
457,Kilimani
458,6
459,Bogani
460,Kilimani
461,City
462,Westlands
463,Kilimani
464,Industrial
465,Rhapta
466,Kilimani
467,Rosslyn
468,Runda
469,Donyo
470,Westlands
471,Westlands
472,Lavington
473,Denis
474,Langata
475,Westlands
476,Upper
478,Kitisuru
479,Runda
480,Kitisuru
481,N/a
482,Matundu
484,Runda
485,Lavington
486,Lavington
487,Lavington
488,Westlands
489,Parklands
490,Lavington
491,Riverside
492,Westlands
493,Riverside
494,Off
495,Lavington
496,Lower
497,Runda
498,Parklands
499,Nyari
500,Kilimani
501,Mutero
502,Lavington
503,Bomas
504,Kileleshwa
505,Gigiri
506,Chalbi
507,Riverside
508,Riverside
509,Riverside
510,Karen
511,Peponi
512,Karura
514,Rosslyn
515,General
516,Runda
517,Windy
518,Peponi
519,Kileleshwa
520,Kileleshwa
521,Nyari
522,Miotoni
523,Kiambu
524,Gigiri
526,Westlands
527,Parklands
528,Kilimani
529,Karen
530,Kieleshwa
532,Lavington
533,Lavinghton
534,Westlands
535,Westlands
536,General
537,Rosslyn
538,Paradise
539,Runda
540,Riverside
541,Kiambu
542,Spring
543,Kileleshwa
544,Runda
545,Marula
546,Muthaiga
547,General
548,Kilimani
549,Kileleshwa
551,Karen
552,Waiyaki
553,Spring
554,Siaya
555,Kileleshwa
556,Upperhill
557,Kitisuru
558,Nyari
559,Kileleshwa
560,Spring
561,Lower
562,Lower
563,Othaya
564,Off
565,Westlands
566,Kiambu
567,General
568,Karen
570,Kileleshwa
571,Kitisuru
572,Brookside
573,Riverside
574,Fourways
576,Muthaiga
577,Kiambu
578,Thika
579,Kitisuru
580,Lavington
581,Lavington
582,Rhapta
584,Karen
585,Lavington
586,Waiyaki
587,Runda
588,Rhapta
590,Loresho
591,Runda
592,Westlands
593,Langata
594,Westlands
595,Kilimani
596,School
597,Kileleshwa
598,Kileleshwa
599,Karen
600,Gigiri
601,Kyuna
602,Muthangari
603,Hardy
604,Runda
605,Runda
607,Miotoni
608,Muthaiga
609,Ruaraka
610,Kilimani
611,Kilimani
612,Kiambu
613,Lavington
614,Lavington
615,Whisper
616,Kilimani
617,Kiambu
619,Lavington
620,Runda
621,Westlands
623,Lavington
624,Mombasa
625,Brookside
627,Lower
628,Runda
629,Waiyaki
630,Riverside
631,Westlands
632,Riverside
633,Kitisuru
634,Peponi
635,Kileleshwa
636,Lavington
637,Rhapta
638,Rosslyn
639,Muthaiga
640,Kifaru
641,Mimosa
642,Riverside
643,Mombasa
644,Gigiri
646,Lavington
647,Runda
648,Kileleshwa
650,Brookside
651,Ojijo
653,Kileleshwa
654,Kiambere
655,Kilimani
657,Parklands
658,Spring
660,Westlands
661,Ridgeways
662,Lavington
664,Westlands
665,Westlands
666,Kilimani
667,Riverside
668,Lavington
669,Kileleshwa
670,Muthangari
671,School
672,City
673,Kileleshwa
674,Kilimani
675,Mombasa
676,Karen
677,Riverside
678,Hurlingham
679,Riverside
680,Lavington
681,Kilimani
682,Lower
683,Kiambu
684,Runda
685,Westlands
689,Parklands
690,Peponi
691,Runda
692,Kileleshwa
693,Upper
694,Kilimani
695,Park
696,Kilimani
697,Westlands
698,Kiambere
699,Runda
700,Karen
701,Panafric
703,Langata
704,Runda
705,Kiambu
706,Kitisuru
707,Lavington
708,Off
709,Mumwe
710,Westlands
711,Runda
712,Karen
713,Lavington
714,Nyari
715,Kileleshwa
716,Westlands
718,Kileleshwa
720,Gigiri
721,Mombasa
722,Kiambu
723,Nyari
724,Mombasa
725,Raphta
726,Off
727,Loresho
728,Parklands
729,Othaya
730,Kileleshwa
731,Karen
732,Westlands
733,Dagoretti
734,Lavington
735,Riverside
736,Lavington
737,Kileleshwa
738,Lavington
739,Kiambu
740,Westlands
741,Off
742,Mkungu
743,Lavington
744,Lavington
745,Kilimani
746,Kileleshwa
748,Runda
749,Maziwa
750,Nyari
751,Kiambere
752,Off
753,Runda
754,Westlands
755,Nyari
756,Kileleshwa
757,Lavington
758,Runda
759,Kitisuru
760,Riverside
761,Waiyaki
762,Kiambu
763,Westlands
764,Riverside
766,Lavington
767,Ngong
768,Runda
769,Lavington
